(C) Total qty in queue,(C) Tổng số lượng trong hàng đợi,
(D) Balance Stock Value,(D) Giá Trị Tồn Kho Cân Bằng,
(E) Balance Stock Value in Queue,(E) Số dư giá trị kho trong hàng đợi,
(F) Change in Stock Value,(F) Thay đổi giá trị hàng tồn kho,
(Forecast),(Dự báo),
(G) Sum of Change in Stock Value,(G) Tổng Giá Trị Thay Đổi trong Kho,
(H) Change in Stock Value (FIFO Queue),(H) Thay đổi Giá trị Kho (Hàng đợi FIFO),
(H) Valuation Rate,(H) Định giá,
(Hour Rate / 60) * Actual Operation Time,(Đơn giá theo giờ / 60) * Thời gian hoạt động thực tế,
(I) Valuation Rate,(I) Định giá,
(J) Valuation Rate as per FIFO,(J) Định giá theo FIFO,
(K) Valuation = Value (D) ÷ Qty (A),(K) Định giá = Giá trị (D) ÷ Số lượng (A),
(including),(bao gồm),
* Will be calculated in the transaction.,* Sẽ được tính toán trong giao dịch.,
0 - 30 Days,0 - 30 Ngày,
0-30,0-30,
0-30 Days,0-30 Ngày,
1 Loyalty Points = How much base currency?,1 Điểm khách hàng thân thiết = Bao nhiêu tiền tệ cơ sở?,
1 hr,1 giờ,
1-10,1-10,
1000+,1000+,
11-50,11-50,
1{0},1{0},
2 Yearly,2 năm,
201-500,201-500,
3 Yearly,3 Năm một lần,
30 - 60 Days,30 - 60 Ngày,
30 mins,30 phút,
30-60,30-60,
30-60 Days,30-60 Ngày,
501-1000,501-1000,
51-200,51-200,
6 hrs,6 giờ,
60 - 90 Days,60 - 90 Ngày,
60-90,60-90,
60-90 Days,60-90 Ngày,
90 - 120 Days,90 - 120 Ngày,
90 Above,Trên 90,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Thời gian bắt đầu</b> không được muộn hơn <b>Thời gian kết thúc</b> cho {0},
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Lưu ý</h4>
<ul>
<li>
Bạn có thể sử dụng <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">thẻ Jinja</a> trong các trường <b>Chủ đề</b> và <b>Nội dung</b> cho các giá trị động.
</li><li>
    Tất cả các trường trong doctype này đều có sẵn trong đối tượng <b>doc</b> và tất cả các trường cho khách hàng mà thư sẽ gửi đến đều có sẵn trong đối tượng <b>customer</b>.
</li></ul>
<h4>Ví dụ</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Chủ đề</b>:<br><br><pre><code>Sao kê tài khoản cho {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Nội dung</b>: <br><br>
<pre><code>Xin chào {{ customer.customer_name }},<br>PFA Sao kê tài khoản của bạn từ {{ doc.from_date }} đến {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Chi tiết khác</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Không tìm thấy giao dịch ngân hàng phù hợp</div>",
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Tất cả các kích thước chỉ tính bằng centimet </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>Giới thiệu về Gói sản phẩm</h3>

<p>Tập hợp nhóm <b>Hàng hóa</b> thành một <b>Hàng hóa</b> khác. Điều này hữu ích nếu bạn đang đóng gói một số <b>Hàng hóa</b> nhất định vào một gói và bạn duy trì kho của <b>Hàng hóa</b> đã đóng gói chứ không phải <b>Hàng hóa</b> tổng hợp.</p>
<p><b>Hàng hóa</b> gói sẽ có <code>Là hàng hóa tồn kho</code> là <b>Không</b> và <code>Là hàng hóa bán</code> là <b>Có</b>.</p>
<h4>Ví dụ:</h4>
<p>Nếu bạn đang bán riêng Máy tính xách tay và Ba lô và có giá đặc biệt nếu khách hàng mua cả hai, thì Máy tính xách tay + Ba lô sẽ là một Hàng hóa Gói Sản phẩm mới.</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Trợ giúp về Cài đặt Hối đoái Tiền tệ</h3>
<p>Có 3 biến có thể được sử dụng trong endpoint, khóa kết quả và trong các giá trị của tham số.</p>
<p>Tỷ giá hối đoái giữa {from_currency} và {to_currency} vào ngày {transaction_date} được API tìm nạp.</p>
<p>Ví dụ: Nếu endpoint của bạn là exchange.com/2021-08-01, thì bạn sẽ phải nhập exchange.com/{transaction_date}</p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Ví dụ về Văn bản Nội dung và Văn bản Kết thúc</h4>

<div>Chúng tôi nhận thấy bạn vẫn chưa thanh toán hóa đơn {{sales_invoice}} cho {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. Đây là lời nhắc nhở rằng hóa đơn đến hạn vào ngày {{due_date}}. Vui lòng thanh toán ngay số tiền đến hạn để tránh mọi chi phí đòi nợ phát sinh.</div>

<h4>Cách lấy tên trường</h4>

<p>Các tên trường bạn có thể sử dụng trong mẫu của mình là các trường trong tài liệu. Bạn có thể tìm hiểu các trường của bất kỳ tài liệu nào thông qua Thiết lập &gt; Tùy chỉnh Chế độ xem Biểu mẫu và chọn loại tài liệu (ví dụ: Hóa đơn Bán hàng)</p>

<h4>Tạo mẫu</h4>

<p>Các mẫu được biên dịch bằng Ngôn ngữ tạo mẫu Jinja. Để tìm hiểu thêm về Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">hãy đọc tài liệu này.</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }}
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Ví dụ về Mẫu Hợp đồng</h4>

<pre>Hợp đồng cho Khách hàng {{ party_name }}

-Có hiệu lực từ: {{ start_date }}
-Có hiệu lực đến: {{ end_date }}
</pre>

<h4>Cách lấy tên trường</h4>

<p>Tên trường bạn có thể sử dụng trong Mẫu Hợp đồng là các trường trong Hợp đồng mà bạn đang tạo mẫu. Bạn có thể tìm hiểu các trường của bất kỳ tài liệu nào thông qua Thiết lập &gt; Tùy chỉnh chế độ xem biểu mẫu và chọn loại tài liệu (ví dụ: Hợp đồng)</p>

<h4>Tạo mẫu</h4>

<p>Các mẫu được biên dịch bằng Ngôn ngữ tạo mẫu Jinja. Để tìm hiểu thêm về Jinja, hãy <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">đọc tài liệu này.</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }}
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Ví dụ về các Điều khoản và Điều kiện Tiêu chuẩn</h4>

<pre>Điều khoản Giao hàng cho số đơn hàng {{ name }}

-Ngày đặt hàng: {{ transaction_date }}
-Ngày giao hàng dự kiến: {{ delivery_date }}
</pre>

<h4>Cách lấy tên trường</h4>

<p>Tên trường bạn có thể sử dụng trong mẫu email của mình là các trường trong tài liệu mà bạn đang gửi email từ đó. Bạn có thể tìm hiểu các trường của bất kỳ tài liệu nào thông qua Thiết lập &gt; Tùy chỉnh Chế độ xem biểu mẫu và chọn loại tài liệu (ví dụ: Hóa đơn bán hàng)</p>

<h4>Tạo mẫu</h4>

<p>Các mẫu được biên dịch bằng Ngôn ngữ tạo mẫu Jinja. Để tìm hiểu thêm về Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">hãy đọc tài liệu này.</a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Hoặc</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Thiết lập Số tài khoản</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Số tiền bằng chữ</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Thiết lập ngày</label>",
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>Trong <b>Mẫu Email</b> của bạn, bạn có thể sử dụng các biến đặc biệt sau:</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: Một liên kết nơi nhà cung cấp của bạn có thể đặt mật khẩu mới để đăng nhập vào cổng thông tin của bạn.
        </li>
        <li>
            <code>{{ portal_link }}</code>: Một liên kết đến RFQ này trong cổng thông tin nhà cung cấp của bạn.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: Tên công ty của nhà cung cấp của bạn.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: Người liên hệ của nhà cung cấp của bạn.
        </li><li>
            <code>{{ user_fullname }}</code>: Tên đầy đủ của bạn.
        </li>
    </ul>
<p></p>
<p>Ngoài những điều này, bạn có thể truy cập tất cả các giá trị trong RFQ này, như <code>{{ message_for_supplier }}</code> hoặc <code>{{ terms }}</code>.</p>",
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Ví dụ về tin nhắn</h5>

&lt;p&gt; Cảm ơn bạn đã là một phần của {{ doc.company }}! Chúng tôi hy vọng bạn thích dịch vụ này.&lt;/p&gt;

&lt;p&gt; Vui lòng tìm bản sao kê Hóa đơn điện tử đính kèm. Số tiền chưa thanh toán là {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; Chúng tôi không muốn bạn mất thời gian chạy xung quanh để thanh toán Hóa đơn của mình.&lt;br&gt;Sau tất cả, cuộc sống tươi đẹp và thời gian bạn có nên được dành để tận hưởng nó!&lt;br&gt;Vì vậy, đây là những cách nhỏ bé của chúng tôi để giúp bạn có thêm thời gian cho cuộc sống! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; nhấp vào đây để thanh toán &lt;/a&gt;

</pre>",
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Ví dụ về tin nhắn</h5>

&lt;p&gt;Chào bạn {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Yêu cầu thanh toán cho {{ doc.doctype }}, {{ doc.name }} với số tiền {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; bấm vào đây để thanh toán &lt;/a&gt;

</pre>",
"<span class=""h4""><b>Masters &amp; Reports</b></span>","<span class=""h4""><b>Danh mục &amp; Báo cáo</b></span>",
"<span class=""h4""><b>Quick Access</b></span>","<span class=""h4""><b>Truy cập nhanh</b></span>",
"<span class=""h4""><b>Reports & Masters</b></span>","<span class=""h4""><b>Báo cáo & Danh mục quản lý</b></span>",
"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class=""h4""><b>Báo cáo &amp; Danh mục</b></span>",
"<span class=""h4""><b>Settings</b></span>","<span class=""h4""><b>Cài đặt</b></span>",
"<span class=""h4""><b>Shortcuts</b></span>","<span class=""h4""><b>Phím tắt</b></span>",
"<span class=""h4""><b>Your Shortcuts





		</b></span>","<span class=""h4""><b>Lối tắt của bạn




</b></span>",
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class=""h4""><b>Lối tắt của bạn</b></span>",
<strong>Grand Total:</strong> {0},<strong>Tổng cộng:</strong> {0},
<strong>Outstanding Amount:</strong> {0},<strong>Số tiền còn lại:</strong> {0},
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>
          </td>
</tr>

</tbody>
</table>






","<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Tài liệu con</th>
         <th class=""table-sr"" style=""width: 50%;"">Tài liệu không phải con</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> Để truy cập trường của tài liệu gốc, sử dụng parent.fieldname và để truy cập trường của tài liệu bảng con, sử dụng doc.fieldname </p>

         </td>
         <td>
                    <p>Để truy cập trường của tài liệu, sử dụng doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Ví dụ: </b> parent.doctype == ""Nhập kho"" và doc.item_code == ""Kiểm tra"" </p>

        </td>
         <td>
                   <p><b>Ví dụ: </b> doc.doctype == ""Nhập kho"" và doc.purpose == ""Sản xuất""</p>
          </td>
</tr>

</tbody>
</table>",
A - B,A - B,
A - C,A - C,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Đã tồn tại Nhóm Khách hàng có cùng tên, vui lòng thay đổi tên Khách hàng hoặc đổi tên Nhóm Khách hàng",
A Holiday List can be added to exclude counting these days for the Workstation.,Có thể thêm danh sách ngày lễ để loại trừ việc tính những ngày này cho máy trạm.,
A Lead requires either a person's name or an organization's name,Một khách hàng tiềm năng cần có tên người hoặc tên tổ chức,
A Packing Slip can only be created for Draft Delivery Note.,Phiếu đóng gói chỉ có thể được tạo cho Phiếu giao hàng nháp.,
"A Price List is a collection of Item Prices either Selling, Buying, or both","Bảng giá là một tập hợp các giá hàng hóa, có thể là Giá Bán, Giá Mua hoặc cả hai",
"A Product or a Service that is bought, sold or kept in stock.","Một Sản phẩm hoặc Dịch vụ được mua, bán hoặc lưu kho.",
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,Một tác vụ đối chiếu {0} đang chạy cho cùng bộ lọc. Không thể đối chiếu ngay bây giờ,
A Transaction Deletion Document: {0} is triggered for {0},Một Tài liệu Xóa Giao Dịch: {0} được kích hoạt cho {0},
A condition for a Shipping Rule,Một điều kiện cho Quy tắc vận chuyển,
A customer must have primary contact email.,Khách hàng phải có email liên hệ chính.,
A driver must be set to submit.,Phải cài đặt một trình điều khiển để gửi.,
A logical Warehouse against which stock entries are made.,Một Kho hợp lý để thực hiện các nhập kho.,
A new appointment has been created for you with {0},Một cuộc hẹn mới đã được tạo cho bạn với {0},
A template with tax category {0} already exists. Only one template is allowed with each tax category,Đã tồn tại một mẫu với danh mục thuế {0}. Chỉ được phép có một mẫu cho mỗi danh mục thuế,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Một nhà phân phối / đại lý / đại diện hoa hồng / chi nhánh / người bán lại bên thứ ba bán sản phẩm của công ty để hưởng hoa hồng.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
AMC Expiry Date,Ngày hết hạn AMC,
API,API,
API Details,Chi tiết API,
API Endpoint,Điểm cuối API,
API Key,Khóa API,
AWB Number,Số AWB,
Abampere,Ampe tuyệt đối,
Abbr,Viết tắt,
Abbreviation,Viết tắt,
Abbreviation already used for another company,Từ viết tắt đã được sử dụng cho một công ty khác,
Abbreviation is mandatory,Bắt buộc phải có chữ viết tắt,
Abbreviation: {0} must appear only once,Chữ viết tắt: {0} chỉ được xuất hiện một lần,
About Us Settings,Cài đặt Giới thiệu về Chúng tôi,
About {0} minute remaining,Khoảng {0} phút còn lại,
About {0} minutes remaining,Còn khoảng {0} phút,
About {0} seconds remaining,Khoảng {0} giây còn lại,
Above 120 Days,Trên 120 ngày,
Academics User,Người dùng học thuật,
Acceptance Criteria Formula,Công Thức Tiêu Chí Nghiệm Thu,
Acceptance Criteria Value,Giá trị Tiêu chí Chấp nhận,
Accepted,Đã chấp nhận,
Accepted Qty,Số lượng đã chấp nhận,
Accepted Qty in Stock UOM,Số lượng chấp nhận được trong Đơn vị đo lường kho,
Accepted Quantity,Số lượng đã chấp nhận,
Accepted Warehouse,Kho được chấp nhận,
Access Key,Khóa truy cập,
Access Key is required for Service Provider: {0},Cần có Khóa truy cập cho Nhà cung cấp dịch vụ: {0},
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,Theo CEFACT/ICG/2010/IC013 hoặc CEFACT/ICG/2010/IC010,
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","Theo BOM {0}, hàng hóa '{1}' đang bị thiếu trong phiếu kho.",
Account,Tài khoản,
Account Balance,Số dư tài khoản,
Account Closing Balance,Số Dư Cuối Kỳ Tài Khoản,
Account Currency,Tiền tệ tài khoản,
Account Currency (From),Tiền tệ tài khoản (Từ),
Account Currency (To),Tiền tệ tài khoản (Đến),
Account Details,Chi Tiết Tài Khoản,
Account Head,Đầu tài khoản,
Account Manager,Quản lý tài khoản,
Account Missing,Thiếu Tài Khoản,
Account Name,Tên tài khoản,
Account Not Found,Không tìm thấy tài khoản,
Account Number,Số tài khoản,
Account Number {0} already used in account {1},Số tài khoản {0} đã được sử dụng trong tài khoản {1},
Account Opening Balance,Số Dư Đầu Kỳ Tài Khoản,
Account Paid From,Tài khoản thanh toán từ,
Account Paid To,Tài khoản thanh toán đến,
Account Pay Only,Chỉ tài khoản phải trả,
Account Subtype,Loại tài khoản phụ,
Account Type,Loại Tài khoản,
Account Value,Giá Trị Tài Khoản,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Số dư tài khoản hiện đang ở trạng thái Có, bạn không được phép đặt 'Số dư phải có' thành 'Nợ'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Số dư tài khoản hiện tại là Nợ, bạn không được phép đặt 'Số dư phải là' thành 'Có'",
Account for Change Amount,Tài khoản cho tiền thừa,
Account is mandatory to get payment entries,Tài khoản là bắt buộc để nhận các mục thanh toán,
Account is not set for the dashboard chart {0},Tài khoản chưa được thiết lập cho biểu đồ trên Dashboard {0},
Account not Found,Không tìm thấy tài khoản,
Account with child nodes cannot be converted to ledger,Tài khoản có các nút con không thể chuyển đổi thành sổ cái,
Account with child nodes cannot be set as ledger,Tài khoản có các nút con không thể được đặt làm sổ cái,
Account with existing transaction can not be converted to group.,Không thể chuyển đổi tài khoản có giao dịch hiện tại sang nhóm.,
Account with existing transaction can not be deleted,Không thể xóa tài khoản có giao dịch hiện tại,
Account with existing transaction cannot be converted to ledger,Không thể chuyển đổi tài khoản có giao dịch hiện tại sang sổ cái,
Account {0} added multiple times,Tài khoản {0} được thêm nhiều lần,
Account {0} does not belong to company: {1},Tài khoản {0} không thuộc về công ty: {1},
Account {0} does not belongs to company {1},Tài khoản {0} không thuộc về công ty {1},
Account {0} does not exist,Tài khoản {0} không tồn tại,
Account {0} does not exists,Tài khoản {0} không tồn tại,
Account {0} does not exists in the dashboard chart {1},Tài khoản {0} không tồn tại trong biểu đồ Dashboard {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Tài khoản {0} không khớp với Công ty {1} trong Phương thức tài khoản: {2},
Account {0} exists in parent company {1}.,Tài khoản {0} đã tồn tại trong công ty cha {1}.,
Account {0} has been entered multiple times,Tài khoản {0} đã được nhập nhiều lần,
Account {0} is added in the child company {1},Tài khoản {0} được thêm vào công ty con {1},
Account {0} is frozen,Tài khoản {0} bị đóng băng,
Account {0} is invalid. Account Currency must be {1},Tài khoản {0} không hợp lệ. Đơn vị tiền tệ của tài khoản phải là {1},
Account {0}: Parent account {1} can not be a ledger,Tài khoản {0}: Tài khoản gốc {1} không thể là sổ cái,
Account {0}: Parent account {1} does not belong to company: {2},Tài khoản {0}: Tài khoản gốc {1} không thuộc về công ty: {2},
Account {0}: Parent account {1} does not exist,Tài khoản {0}: Tài khoản gốc {1} không tồn tại,
Account {0}: You can not assign itself as parent account,Tài khoản {0}: Bạn không thể tự gán nó làm tài khoản cha,
